WW,AREA,PMOverdue,WaivePM,% PM Waive
33,Diffusion,51,25,49.02%
33,Etch,697,54,7.75%
33,FBE,197,1,0.51%
33,FabSupportGroup,12,1,8.33%
33,Implant,4,3,75%
33,Lithography,751,553,73.64%
33,Metrology,91,52,57.14%
33,Planar,417,101,24.22%
33,TSV,14,9,64.29%
33,ThinFilms,450,180,40%
33,WetEtch,163,47,28.83%
